TimeStamp,Tag Name,ABB_X,ABB_Y,ABB_Z,Champer_Temp,Chamber_Pressure,Main_Gas_Flow ,PF1_Gas_Flow ,PF2_Gas_Flow ,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
20241203T7:24:20.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:24:25.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:24:30.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:24:35.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:24:40.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:24:45.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:24:50.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:24:55.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:25:00.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:25:05.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.69,0,0
20241203T7:25:10.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:25:15.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:25:20.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:25:25.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:25:30.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:25:35.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.69,0,0
20241203T7:25:40.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0.002
20241203T7:25:45.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:25:50.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.69,0,0
20241203T7:25:55.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0.002
20241203T7:26:00.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241203T7:26:05.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:26:10.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:26:15.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0.002
20241203T7:26:20.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:26:25.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:26:30.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:26:35.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0.002,0
20241203T7:26:40.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0.002
20241203T7:26:45.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:26:50.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0.002
20241203T7:26:55.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0.002,0
20241203T7:27:00.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:27:05.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0.002
20241203T7:27:10.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:27:15.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:27:20.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:27:25.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:27:30.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:27:35.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:27:40.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
