TimeStamp,ABB_X_Pos,ABB_Y_Pos,ABB_Z_Pos,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF1_Pressure,PF1_Gas_Flow,PF2_Pressure,PF2_Gas_Flow
20250108T06:11:19.666,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:20.663,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:21.672,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:22.677,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:23.672,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:24.676,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:25.681,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:26.694,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:27.694,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:28.701,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:29.715,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:30.721,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:31.727,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:32.739,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:33.740,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:34.747,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:35.760,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:36.765,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:37.778,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:38.785,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:39.794,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:40.810,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:41.815,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:42.819,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:43.834,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:44.829,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:45.845,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:46.852,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:47.859,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:48.861,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:49.866,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:50.861,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:51.864,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:52.863,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:53.862,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:54.867,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:55.874,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:56.882,0,0,0,29,0.006,1,0.002,0,0.002,0
20250108T06:11:57.881,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:58.889,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:11:59.897,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:12:00.901,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:12:01.913,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:12:02.924,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:12:03.927,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:12:04.936,0,0,0,28,0.006,1,0.002,0,0.002,0
20250108T06:12:05.944,0,0,0,28,0.006,1,0.002,0,0.002,0
