TimeStamp,ABB_X_Pos,ABB_Y_Pos,ABB_Z_Pos,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF2_Pressure,PF2_Gas_Flow,PF1_Pressure,PF1_Gas_Flow
20250115T04:35:15.301,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:16.014,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:17.006,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:18.026,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:19.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:20.007,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:21.021,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:22.007,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:23.002,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:24.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:25.014,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:26.007,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:27.004,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:28.016,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:29.021,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:30.004,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:31.028,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:32.013,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:33.018,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:34.002,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:35.015,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:36.003,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:37.005,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:38.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:39.009,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:40.016,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:41.008,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:42.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:43.014,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:44.009,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:45.014,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:46.017,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:47.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:48.003,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:49.006,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:50.014,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:51.017,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:52.013,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:53.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:54.008,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:55.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:56.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:57.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:58.023,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:35:59.021,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:00.009,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:01.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:02.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:03.000,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:04.001,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:05.005,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:06.013,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:07.013,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:08.004,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:09.020,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:10.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:11.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:12.014,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:13.018,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:14.004,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:15.014,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:16.003,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:17.003,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:18.024,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:19.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:20.021,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:21.001,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:22.030,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:23.002,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:24.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:25.015,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:26.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:27.004,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:28.017,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:29.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:30.019,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:31.020,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:32.009,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:33.013,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:34.002,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:35.019,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:36.017,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:37.020,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:38.005,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:39.002,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:40.018,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:41.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:42.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:43.017,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:44.000,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:45.006,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:46.018,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:47.004,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:48.020,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:49.028,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:50.007,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:51.027,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:52.015,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:53.004,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:54.017,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:55.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:56.004,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:57.001,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:58.000,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:36:59.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:00.026,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:01.013,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:02.013,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:03.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:04.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:05.017,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:06.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:07.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:08.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:09.019,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:10.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:11.002,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:12.006,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:13.015,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:14.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:15.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:16.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:17.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:18.021,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:19.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:20.019,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:21.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:22.017,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:23.015,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:24.009,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:25.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:26.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:27.009,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:28.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:29.013,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:30.008,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:31.003,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:32.018,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:33.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:34.014,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:35.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:36.003,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:37.014,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:38.002,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:39.018,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:40.017,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:41.014,0,0,0,45,0.006,1,0.002,0,0.002,0
