TimeStamp,ABB_X_Pos,ABB_Y_Pos,ABB_Z_Pos,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow_Rate,PF1_Pressure,PF1_Gas_Flow_Rate,PF2_Pressure,PF2_Gas_Flow_Rate
20250306T01:06:46.177,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:06:47.017,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:06:48.016,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:06:49.018,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:06:50.018,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:06:51.014,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:06:52.011,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:06:53.002,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:06:54.024,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:06:55.007,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:06:56.008,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:06:57.007,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:06:58.007,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:06:59.012,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:00.004,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:01.005,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:02.004,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:03.015,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:04.014,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:05.004,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:06.009,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:07.009,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:08.009,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:09.008,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:10.004,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:11.019,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:12.005,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:13.020,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:14.019,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:15.013,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:16.002,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:17.024,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:18.023,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:19.009,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:20.002,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:21.009,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:22.001,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:23.021,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:24.009,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:25.004,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:26.019,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:27.024,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:28.001,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:29.019,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:30.014,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:31.017,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:32.025,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:33.010,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:34.001,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:35.024,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:36.009,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:37.009,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:38.013,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:39.032,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:40.023,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:41.008,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:42.010,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:43.014,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:44.026,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:45.001,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:46.138,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:47.061,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:48.034,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:49.035,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:50.031,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:51.034,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:52.033,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:53.022,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:54.020,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:55.029,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:56.047,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:57.022,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:58.019,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:07:59.018,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:00.030,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:01.031,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:02.034,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:03.034,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:04.034,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:05.038,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:06.028,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:07.021,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:08.028,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:09.041,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:10.044,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:11.042,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:12.063,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:13.022,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:14.043,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:15.044,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:16.053,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:17.056,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:18.045,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:19.050,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:20.071,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:21.043,0,0,0,26,0.0,1,0.0,0.0,0.002,0.0
20250306T01:08:22.017,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:23.042,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
