Date,Time,ms,Data_Type,ABB_X,ABB_Y,ABB_Z,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF1_Gas_Flow,PF2_Gas_Flow,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
13/12/2024,12:03:00 pm,0,Double[12],-759.89,-2213.24,1267.97,378,4.416,2356,0,120.7,62.26,62.76,0.002,4.442
13/12/2024,12:03:01 pm,0,Double[12],-759.89,-2213.24,1267.97,381,4.498,2386,0,161.8,62.26,62.77,0.002,4.527
13/12/2024,12:03:02 pm,0,Double[12],-759.89,-2213.24,1267.97,383,4.557,2409,0,141.8,62.26,62.77,0.002,4.58
13/12/2024,12:03:03 pm,0,Double[12],-759.89,-2213.24,1267.97,386,4.603,2476,0,97.4,62.26,62.77,0.002,4.622
13/12/2024,12:03:04 pm,0,Double[12],-759.89,-2213.24,1267.97,389,4.655,2508,0,84.5,62.26,62.78,0.002,4.675
13/12/2024,12:03:05 pm,0,Double[12],-759.89,-2213.24,1267.97,391,4.715,2534,0,114.5,62.26,62.78,0.002,4.752
13/12/2024,12:03:06 pm,0,Double[12],-759.89,-2213.24,1267.97,393,4.777,2556,0,176.1,62.26,62.78,0.002,4.822
13/12/2024,12:03:07 pm,0,Double[12],-759.89,-2213.24,1267.97,394,4.821,2580,0,189.7,62.26,62.78,0.002,4.872
13/12/2024,12:03:08 pm,0,Double[12],-759.89,-2213.24,1267.97,395,4.848,2580,0,168.2,62.26,62.79,0.002,4.892
13/12/2024,12:03:09 pm,0,Double[12],-759.89,-2213.24,1267.97,395,4.87,2572,0,137.3,62.26,62.79,0.002,4.912
13/12/2024,12:03:10 pm,0,Double[12],-759.89,-2213.24,1267.97,395,4.887,2520,0,130.5,62.26,62.79,0.002,4.93
13/12/2024,12:03:11 pm,0,Double[12],-759.89,-2213.24,1267.97,395,4.901,2510,0,129.3,62.26,62.79,0.002,4.952
13/12/2024,12:03:12 pm,0,Double[12],-759.89,-2213.24,1267.97,394,4.921,2519,0,150.7,62.26,62.79,0.002,4.98
13/12/2024,12:03:13 pm,0,Double[12],-759.89,-2213.24,1267.97,393,4.941,2560,0,187.7,62.26,62.8,0.002,5.01
13/12/2024,12:03:14 pm,0,Double[12],-759.89,-2213.24,1267.97,392,4.955,2567,0,198.5,62.26,62.8,0.002,5.032
13/12/2024,12:03:15 pm,0,Double[12],-759.89,-2213.24,1267.97,391,4.968,2556,0,198.4,62.26,62.8,0.002,5.045
13/12/2024,12:03:16 pm,0,Double[12],-759.89,-2213.24,1267.97,390,4.975,2550,0,192.7,62.26,62.8,0.002,5.052
13/12/2024,12:03:17 pm,0,Double[12],-759.89,-2213.24,1267.97,390,4.983,2503,0,184.7,62.26,62.8,0.002,5.057
13/12/2024,12:03:18 pm,0,Double[12],-759.89,-2213.24,1267.97,390,4.985,2491,0,178.9,62.26,62.8,0.002,5.06
13/12/2024,12:03:19 pm,0,Double[12],-759.89,-2213.24,1267.97,390,4.99,2450,0,177.5,62.26,62.8,0.002,5.065
13/12/2024,12:03:20 pm,0,Double[12],-759.89,-2213.24,1267.97,390,4.998,2441,0,177.9,62.26,62.8,0.002,5.072
13/12/2024,12:03:21 pm,0,Double[12],-759.89,-2213.24,1267.97,390,5.002,2438,0,177.5,62.26,62.8,0.002,5.077
13/12/2024,12:03:22 pm,0,Double[12],-759.89,-2213.24,1267.97,391,5.007,2421,0,177.7,62.26,62.8,0.002,5.082
13/12/2024,12:03:23 pm,0,Double[12],-759.89,-2213.24,1267.97,392,5.007,2422,0,176.1,62.26,62.8,0.002,5.085
13/12/2024,12:03:24 pm,0,Double[12],-759.89,-2213.24,1267.97,392,5.007,2424,0,175.3,62.26,62.8,0.002,5.087
13/12/2024,12:03:25 pm,0,Double[12],-759.89,-2213.24,1267.97,393,5.007,2421,0,177.5,62.26,62.8,0.002,5.087
13/12/2024,12:03:26 pm,0,Double[12],-759.89,-2213.24,1267.97,394,5.009,2422,0,179.5,62.26,62.8,0.002,5.09
13/12/2024,12:03:27 pm,0,Double[12],-759.89,-2213.24,1267.97,395,5.012,2405,0,179.5,62.26,62.8,0.002,5.092
13/12/2024,12:03:28 pm,0,Double[12],-759.89,-2213.24,1267.97,396,5.012,2412,0,178.5,62.26,62.8,0.002,5.095
13/12/2024,12:03:29 pm,0,Double[12],-759.89,-2213.24,1267.97,396,5.007,2426,0,178.3,62.26,62.8,0.002,5.092
13/12/2024,12:03:30 pm,0,Double[12],-759.89,-2213.24,1267.97,397,5.004,2414,0,180.4,62.26,62.8,0.002,5.09
13/12/2024,12:03:31 pm,0,Double[12],-759.89,-2213.24,1267.97,398,5.002,2414,0,187.6,62.26,62.8,0.002,5.092
13/12/2024,12:03:32 pm,0,Double[12],-759.89,-2213.24,1267.97,398,5.002,2412,0,190,62.26,62.8,0.002,5.092
13/12/2024,12:03:33 pm,0,Double[12],-759.89,-2213.24,1267.97,398,5.004,2440,0,190.1,62.26,62.8,0.002,5.095
13/12/2024,12:03:34 pm,0,Double[12],-759.89,-2213.24,1267.97,399,5.004,2443,0,191.9,62.26,62.8,0.002,5.095
13/12/2024,12:03:35 pm,0,Double[12],-759.89,-2213.24,1267.97,399,5.004,2441,0,192.5,62.26,62.8,0.002,5.097
13/12/2024,12:03:36 pm,0,Double[12],-759.89,-2213.24,1267.97,399,5.009,2448,0,200.3,62.26,62.8,0.002,5.105
13/12/2024,12:03:37 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.012,2462,0,212.8,62.26,62.8,0.002,5.112
13/12/2024,12:03:38 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.014,2464,0,215.8,62.26,62.8,0.002,5.117
13/12/2024,12:03:39 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.017,2460,0,213.2,62.26,62.81,0.002,5.12
13/12/2024,12:03:40 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.014,2450,0,214.9,62.26,62.81,0.002,5.12
13/12/2024,12:03:41 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.012,2443,0,211.6,62.26,62.8,0.002,5.117
13/12/2024,12:03:42 pm,0,Double[12],-759.89,-2213.24,1267.97,399,5.007,2431,0,202.9,62.26,62.8,0.002,5.11
13/12/2024,12:03:43 pm,0,Double[12],-759.89,-2213.24,1267.97,399,4.999,2438,0,201.7,62.26,62.8,0.002,5.102
13/12/2024,12:03:44 pm,0,Double[12],-759.89,-2213.24,1267.97,398,4.998,2457,0,202.6,62.26,62.8,0.002,5.097
13/12/2024,12:03:45 pm,0,Double[12],-759.89,-2213.24,1267.97,398,4.999,2459,0,203.2,62.26,62.8,0.002,5.097
13/12/2024,12:03:46 pm,0,Double[12],-759.89,-2213.24,1267.97,397,4.999,2459,0,203.8,62.26,62.81,0.002,5.097
13/12/2024,12:03:47 pm,0,Double[12],-759.89,-2213.24,1267.97,397,4.999,2459,0,202.4,62.26,62.8,0.002,5.1
13/12/2024,12:03:48 pm,0,Double[12],-759.89,-2213.24,1267.97,396,4.998,2453,0,202.8,62.26,62.8,0.002,5.097
13/12/2024,12:03:49 pm,0,Double[12],-759.89,-2213.24,1267.97,396,4.995,2443,0,202.2,62.26,62.81,0.002,5.095
13/12/2024,12:03:50 pm,0,Double[12],-759.89,-2213.24,1267.97,396,4.995,2441,0,203.2,62.26,62.81,0.002,5.095
13/12/2024,12:03:51 pm,0,Double[12],-759.89,-2213.24,1267.97,395,4.998,2450,0,202.9,62.26,62.81,0.002,5.095
13/12/2024,12:03:52 pm,0,Double[12],-759.89,-2213.24,1267.97,395,4.999,2457,0,203.2,62.26,62.81,0.002,5.097
13/12/2024,12:03:53 pm,0,Double[12],-759.89,-2213.24,1267.97,395,5.002,2453,0,201.3,62.26,62.81,0.002,5.1
13/12/2024,12:03:54 pm,0,Double[12],-759.89,-2213.24,1267.97,396,5.002,2448,0,202.9,62.26,62.81,0.002,5.1
13/12/2024,12:03:55 pm,0,Double[12],-759.89,-2213.24,1267.97,396,5.002,2474,0,202.8,62.26,62.81,0.002,5.1
13/12/2024,12:03:56 pm,0,Double[12],-759.89,-2213.24,1267.97,396,5.002,2476,0,202.2,62.26,62.81,0.002,5.1
13/12/2024,12:03:57 pm,0,Double[12],-759.89,-2213.24,1267.97,396,5.002,2464,0,202.8,62.26,62.81,0.002,5.102
13/12/2024,12:03:58 pm,0,Double[12],-759.89,-2213.24,1267.97,396,5.002,2459,0,202.9,62.26,62.81,0.002,5.1
13/12/2024,12:03:59 pm,0,Double[12],-759.89,-2213.24,1267.97,397,5.002,2436,0,203.2,62.26,62.81,0.002,5.102
13/12/2024,12:04:00 pm,0,Double[12],-759.89,-2213.24,1267.97,397,4.999,2445,0,202.8,62.26,62.81,0.002,5.1
13/12/2024,12:04:01 pm,0,Double[12],-759.89,-2213.24,1267.97,397,4.999,2443,0,202.9,62.26,62.81,0.002,5.1
13/12/2024,12:04:02 pm,0,Double[12],-759.89,-2213.24,1267.97,398,5.002,2440,0,202.6,62.26,62.81,0.002,5.1
13/12/2024,12:04:03 pm,0,Double[12],-759.89,-2213.24,1267.97,398,5.002,2467,0,202.2,62.26,62.81,0.002,5.102
13/12/2024,12:04:04 pm,0,Double[12],-759.89,-2213.24,1267.97,398,5.002,2462,0,202.6,62.26,62.81,0.002,5.102
13/12/2024,12:04:05 pm,0,Double[12],-759.89,-2213.24,1267.97,399,5.004,2447,0,201.3,62.26,62.81,0.002,5.102
13/12/2024,12:04:06 pm,0,Double[12],-759.89,-2213.24,1267.97,399,5.002,2443,0,202,62.26,62.81,0.002,5.102
13/12/2024,12:04:07 pm,0,Double[12],-759.89,-2213.24,1267.97,399,5.002,2448,0,202,62.26,62.81,0.002,5.102
13/12/2024,12:04:08 pm,0,Double[12],-759.89,-2213.24,1267.97,399,5.002,2405,0,201.7,62.26,62.81,0.002,5.1
13/12/2024,12:04:09 pm,0,Double[12],-759.89,-2213.24,1267.97,399,5.002,2405,0,202.4,62.26,62.81,0.002,5.1
13/12/2024,12:04:10 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2409,0,202.4,62.26,62.81,0.002,5.102
13/12/2024,12:04:11 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2421,0,201.3,62.26,62.81,0.002,5.102
13/12/2024,12:04:12 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2412,0,201.3,62.26,62.81,0.002,5.102
13/12/2024,12:04:13 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2431,0,201.3,62.26,62.81,0.002,5.102
13/12/2024,12:04:14 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2450,0,201.2,62.26,62.81,0.002,5.102
13/12/2024,12:04:15 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2431,0,201.7,62.26,62.81,0.002,5.102
13/12/2024,12:04:16 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2431,0,201.6,62.26,62.81,0.002,5.102
13/12/2024,12:04:17 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2409,0,202,62.26,62.81,0.002,5.102
13/12/2024,12:04:18 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2433,0,201.6,62.26,62.81,0.002,5.102
13/12/2024,12:04:19 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2436,0,200.5,62.26,62.81,0.002,5.102
13/12/2024,12:04:20 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2429,0,202.6,62.26,62.81,0.002,5.1
13/12/2024,12:04:21 pm,0,Double[12],-759.89,-2213.24,1267.97,400,4.999,2422,0,203.6,62.26,62.81,0.002,5.102
13/12/2024,12:04:22 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2452,0,201.6,62.26,62.81,0.002,5.1
13/12/2024,12:04:23 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2450,0,202.2,62.26,62.81,0.002,5.1
13/12/2024,12:04:24 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2447,0,201.7,62.26,62.81,0.002,5.1
13/12/2024,12:04:25 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2431,0,200.8,62.26,62.81,0.002,5.102
13/12/2024,12:04:26 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2409,0,200.5,62.26,62.81,0.002,5.102
13/12/2024,12:04:27 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2405,0,201,62.26,62.81,0.002,5.102
13/12/2024,12:04:28 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2374,0,200.8,62.26,62.81,0.002,5.102
13/12/2024,12:04:29 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2385,0,201.6,62.26,62.81,0.002,5.102
13/12/2024,12:04:30 pm,0,Double[12],-759.89,-2213.24,1267.97,400,4.999,2359,0,201.7,62.26,62.81,0.002,5.1
13/12/2024,12:04:31 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2347,0,201.2,62.26,62.81,0.002,5.1
13/12/2024,12:04:32 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2328,0,202.8,62.26,62.81,0.002,5.102
13/12/2024,12:04:33 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2330,0,202.4,62.26,62.81,0.002,5.102
13/12/2024,12:04:34 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2335,0,203.4,62.26,62.81,0.002,5.102
13/12/2024,12:04:35 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2347,0,203.4,62.26,62.81,0.002,5.102
13/12/2024,12:04:36 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2344,0,202.2,62.26,62.81,0.002,5.102
13/12/2024,12:04:37 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2333,0,203.6,62.26,62.81,0.002,5.102
13/12/2024,12:04:38 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2326,0,202.4,62.26,62.81,0.002,5.102
13/12/2024,12:04:39 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2333,0,202.4,62.26,62.8,0.002,5.102
13/12/2024,12:04:40 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2356,0,202.4,62.26,62.8,0.002,5.102
13/12/2024,12:04:41 pm,0,Double[12],-759.89,-2213.24,1267.97,400,4.999,2357,0,204.4,62.26,62.8,0.002,5.1
13/12/2024,12:04:42 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2359,0,202.8,62.26,62.8,0.002,5.102
13/12/2024,12:04:43 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2369,0,202.8,62.26,62.8,0.002,5.102
13/12/2024,12:04:44 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2378,0,203.4,62.26,62.8,0.002,5.102
13/12/2024,12:04:45 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2386,0,202.2,62.26,62.8,0.002,5.102
13/12/2024,12:04:46 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2395,0,202.9,62.26,62.81,0.002,5.102
13/12/2024,12:04:47 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2395,0,202.4,62.26,62.81,0.002,5.102
13/12/2024,12:04:48 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2405,0,202.2,62.26,62.81,0.002,5.102
13/12/2024,12:04:49 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2445,0,200.5,62.26,62.81,0.002,5.102
13/12/2024,12:04:50 pm,0,Double[12],-759.89,-2213.24,1267.97,400,4.999,2447,0,202.2,62.26,62.81,0.002,5.102
13/12/2024,12:04:51 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2433,0,204.1,62.26,62.81,0.002,5.102
13/12/2024,12:04:52 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2440,0,204.4,62.26,62.81,0.002,5.102
13/12/2024,12:04:53 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2443,0,202.2,62.26,62.81,0.002,5.102
13/12/2024,12:04:54 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2448,0,199.7,62.26,62.8,0.002,5.102
13/12/2024,12:04:55 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2447,0,201.7,62.26,62.8,0.002,5.102
13/12/2024,12:04:56 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2465,0,202.2,62.26,62.8,0.002,5.102
13/12/2024,12:04:57 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2484,0,202,62.26,62.8,0.002,5.102
13/12/2024,12:04:58 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2515,0,202,62.26,62.81,0.002,5.105
13/12/2024,12:04:59 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2527,0,202.9,62.26,62.81,0.002,5.105
13/12/2024,12:05:00 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2508,0,203.4,62.26,62.81,0.002,5.105
13/12/2024,12:05:01 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2460,0,202.9,62.26,62.81,0.002,5.105
13/12/2024,12:05:02 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2431,0,202.4,62.26,62.8,0.002,5.105
13/12/2024,12:05:03 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2385,0,203.2,62.26,62.81,0.002,5.105
13/12/2024,12:05:04 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2393,0,202.8,62.26,62.81,0.002,5.102
13/12/2024,12:05:05 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2381,0,203.6,62.26,62.8,0.002,5.102
13/12/2024,12:05:06 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2356,0,204,62.26,62.8,0.002,5.102
13/12/2024,12:05:07 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2350,0,202.4,62.26,62.8,0.002,5.102
13/12/2024,12:05:08 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2344,0,203.2,62.26,62.8,0.002,5.102
13/12/2024,12:05:09 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2328,0,203.2,62.26,62.81,0.002,5.105
13/12/2024,12:05:10 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2297,0,202.8,62.26,62.81,0.002,5.105
13/12/2024,12:05:11 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2285,0,202.9,62.26,62.81,0.002,5.105
13/12/2024,12:05:12 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2270,0,201.7,62.26,62.81,0.002,5.102
13/12/2024,12:05:13 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2254,0,202.9,62.26,62.81,0.002,5.102
13/12/2024,12:05:14 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2249,0,203.6,62.26,62.81,0.002,5.102
13/12/2024,12:05:15 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2297,0,202.6,62.26,62.81,0.002,5.102
13/12/2024,12:05:16 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2316,0,202.4,62.26,62.81,0.002,5.102
13/12/2024,12:05:17 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2323,0,202.4,62.26,62.81,0.002,5.102
13/12/2024,12:05:18 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2313,0,204.1,62.26,62.81,0.002,5.102
13/12/2024,12:05:19 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2338,0,203.4,62.26,62.8,0.002,5.105
13/12/2024,12:05:20 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2371,0,202.4,62.26,62.8,0.002,5.105
13/12/2024,12:05:21 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2369,0,203.4,62.26,62.8,0.002,5.105
13/12/2024,12:05:22 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2412,0,203.2,62.26,62.81,0.002,5.105
13/12/2024,12:05:23 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2431,0,203.8,62.26,62.81,0.002,5.105
13/12/2024,12:05:24 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2447,0,204.1,62.26,62.81,0.002,5.105
13/12/2024,12:05:25 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2448,0,201.6,62.26,62.81,0.002,5.105
13/12/2024,12:05:26 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2465,0,202.6,62.26,62.81,0.002,5.107
13/12/2024,12:05:27 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2469,0,202,62.26,62.81,0.002,5.105
13/12/2024,12:05:28 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2484,0,203.4,62.26,62.81,0.002,5.105
13/12/2024,12:05:29 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2481,0,202.6,62.26,62.81,0.002,5.105
13/12/2024,12:05:30 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2486,0,201.3,62.26,62.81,0.002,5.105
13/12/2024,12:05:31 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2493,0,202.2,62.26,62.81,0.002,5.105
13/12/2024,12:05:32 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2517,0,202.8,62.26,62.81,0.002,5.105
13/12/2024,12:05:33 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2560,0,204.4,62.26,62.81,0.002,5.102
13/12/2024,12:05:34 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2551,0,202.6,62.26,62.81,0.002,5.102
13/12/2024,12:05:35 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2544,0,202.6,62.26,62.81,0.002,5.102
13/12/2024,12:05:36 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2500,0,202.9,62.26,62.8,0.002,5.105
13/12/2024,12:05:37 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2498,0,202.4,62.26,62.81,0.002,5.105
13/12/2024,12:05:38 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.004,2507,0,201.7,62.26,62.81,0.002,5.105
13/12/2024,12:05:39 pm,0,Double[12],-759.89,-2213.24,1267.97,400,5.002,2501,0,201.7,62.26,62.81,0.002,5.105
