Date,Time,ms,Data_Type,ABB_X,ABB_Y,ABB_Z,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF1_Gas_Flow,PF2_Gas_Flow,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
4/12/2024,4:20:45 pm,0,Double[12],-509.83,-2213.82,1278.23,61,0.021,1,20.8,0,62.26,62.65,0.22,0.002
4/12/2024,4:20:46 pm,0,Double[12],-509.83,-2213.82,1278.23,62,0.019,1,17,0,62.26,62.65,0.195,0.002
4/12/2024,4:20:47 pm,0,Double[12],-509.83,-2213.82,1278.23,63,0.016,1,10.2,0,62.26,62.65,0.17,0.002
4/12/2024,4:20:48 pm,0,Double[12],-509.83,-2213.82,1278.23,64,0.016,1,8,0,62.26,62.65,0.147,0
4/12/2024,4:20:49 pm,0,Double[12],-509.83,-2213.82,1278.23,64,0.021,1,7.2,0,62.26,62.65,0.13,0.002
4/12/2024,4:20:50 pm,0,Double[12],-509.83,-2213.82,1278.23,65,0.021,1,7.2,0,62.26,62.66,0.112,0.002
4/12/2024,4:20:51 pm,0,Double[12],-509.83,-2213.82,1278.23,66,0.011,1,6.8,0,62.26,62.66,0.097,0.002
4/12/2024,4:20:52 pm,0,Double[12],-509.83,-2213.82,1278.23,67,0.006,1,6.8,0,62.26,62.66,0.085,0.002
4/12/2024,4:20:53 pm,0,Double[12],-509.83,-2213.82,1278.23,68,0.006,1,6.8,0,62.26,62.65,0.07,0.002
4/12/2024,4:20:54 pm,0,Double[12],-509.83,-2213.82,1278.23,68,0.006,1,6.8,0,62.26,62.65,0.06,0.002
4/12/2024,4:20:55 pm,0,Double[12],-509.83,-2213.82,1278.23,69,0.004,1,0,0,62.26,62.65,0.05,0.002
4/12/2024,4:20:56 pm,0,Double[12],-509.83,-2213.82,1278.23,70,0.004,1,0,0,62.26,62.65,0.04,0.002
4/12/2024,4:20:57 pm,0,Double[12],-509.83,-2213.82,1278.23,70,0.004,1,0,0,62.26,62.66,0.032,0.002
4/12/2024,4:20:58 pm,0,Double[12],-509.83,-2213.82,1278.23,71,0.004,1,0,0,62.26,62.66,0.027,0.002
4/12/2024,4:20:59 pm,0,Double[12],-509.83,-2213.82,1278.23,72,0.006,1,0,0,62.26,62.66,0.02,0.002
4/12/2024,4:21:00 pm,0,Double[12],-509.83,-2213.82,1278.23,73,0.006,1,0,0,62.26,62.66,0.017,0.002
4/12/2024,4:21:01 pm,0,Double[12],-509.83,-2213.82,1278.23,73,0.004,1,0,0,62.26,62.66,0.012,0.002
4/12/2024,4:21:02 pm,0,Double[12],-509.83,-2213.82,1278.23,74,0.004,1,0,0,62.26,62.65,0.01,0.002
4/12/2024,4:21:03 pm,0,Double[12],-509.83,-2213.82,1278.23,75,0.004,1,0,0,62.26,62.65,0.007,0.002
4/12/2024,4:21:04 pm,0,Double[12],-509.83,-2213.82,1278.23,75,0.004,1,0,0,62.26,62.66,0.005,0.002
4/12/2024,4:21:05 pm,0,Double[12],-509.83,-2213.82,1278.23,76,0.006,1,0,0,62.26,62.66,0.005,0.002
4/12/2024,4:21:06 pm,0,Double[12],-509.83,-2213.82,1278.23,77,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:07 pm,0,Double[12],-509.83,-2213.82,1278.23,77,0.004,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:08 pm,0,Double[12],-509.83,-2213.82,1278.23,78,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:09 pm,0,Double[12],-509.83,-2213.82,1278.23,79,0.004,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:10 pm,0,Double[12],-509.83,-2213.82,1278.23,79,0.004,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:11 pm,0,Double[12],-509.83,-2213.82,1278.23,80,0.004,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:12 pm,0,Double[12],-509.83,-2213.82,1278.23,80,0.004,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:13 pm,0,Double[12],-509.83,-2213.82,1278.23,81,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:14 pm,0,Double[12],-509.83,-2213.82,1278.23,81,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:15 pm,0,Double[12],-509.83,-2213.82,1278.23,82,0.004,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:16 pm,0,Double[12],-509.83,-2213.82,1278.23,82,0.004,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:17 pm,0,Double[12],-509.83,-2213.82,1278.23,83,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:18 pm,0,Double[12],-509.83,-2213.82,1278.23,83,0.004,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:19 pm,0,Double[12],-509.83,-2213.82,1278.23,84,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:20 pm,0,Double[12],-509.83,-2213.82,1278.23,84,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:21 pm,0,Double[12],-509.83,-2213.82,1278.23,85,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:22 pm,0,Double[12],-509.83,-2213.82,1278.23,85,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:23 pm,0,Double[12],-509.83,-2213.82,1278.23,85,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:24 pm,0,Double[12],-509.83,-2213.82,1278.23,86,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:25 pm,0,Double[12],-509.83,-2213.82,1278.23,86,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:26 pm,0,Double[12],-509.83,-2213.82,1278.23,86,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:27 pm,0,Double[12],-509.83,-2213.82,1278.23,87,0.006,1,0,0,62.26,62.66,0.002,0.002
4/12/2024,4:21:28 pm,0,Double[12],-509.83,-2213.82,1278.23,87,0.006,1,0,0,62.26,62.65,0.002,0.002
4/12/2024,4:21:29 pm,0,Double[12],-509.83,-2213.82,1278.23,87,0.006,1,6.9,0,62.26,62.66,0.005,0.002
