Date,Time,ms,Data_Type,ABB_X,ABB_Y,ABB_Z,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF1_Gas_Flow,PF2_Gas_Flow,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
4/12/2024,4:40:00 pm,0,Double[12],-509.83,-2213.82,1278.23,123,0.021,1,25.6,0,62.26,62.64,0.23,0.002
4/12/2024,4:40:01 pm,0,Double[12],-509.83,-2213.82,1278.23,125,0.019,1,19.4,0,62.26,62.64,0.205,0.002
4/12/2024,4:40:02 pm,0,Double[12],-509.83,-2213.82,1278.23,126,0.016,1,13.8,0,62.26,62.64,0.182,0.002
4/12/2024,4:40:03 pm,0,Double[12],-509.83,-2213.82,1278.23,127,0.016,1,9.3,0,62.26,62.64,0.16,0.002
4/12/2024,4:40:04 pm,0,Double[12],-509.83,-2213.82,1278.23,128,0.016,1,8,0,62.26,62.64,0.14,0.002
4/12/2024,4:40:05 pm,0,Double[12],-509.83,-2213.82,1278.23,129,0.014,1,8,0,62.26,62.64,0.122,0.002
4/12/2024,4:40:06 pm,0,Double[12],-509.83,-2213.82,1278.23,130,0.014,1,6.9,0,62.26,62.64,0.107,0.002
4/12/2024,4:40:07 pm,0,Double[12],-509.83,-2213.82,1278.23,132,0.019,1,7.2,0,62.26,62.64,0.092,0.002
4/12/2024,4:40:08 pm,0,Double[12],-509.83,-2213.82,1278.23,134,0.011,1,6.8,0,62.26,62.64,0.08,0.002
4/12/2024,4:40:09 pm,0,Double[12],-509.83,-2213.82,1278.23,135,0.006,1,6.8,0,62.26,62.64,0.067,0.002
4/12/2024,4:40:10 pm,0,Double[12],-509.83,-2213.82,1278.23,137,0.004,1,6.8,0,62.26,62.64,0.055,0.002
4/12/2024,4:40:11 pm,0,Double[12],-509.83,-2213.82,1278.23,138,0.004,1,0,0,62.26,62.64,0.045,0.002
4/12/2024,4:40:12 pm,0,Double[12],-509.83,-2213.82,1278.23,139,0.004,1,0,0,62.26,62.64,0.037,0.002
4/12/2024,4:40:13 pm,0,Double[12],-509.83,-2213.82,1278.23,141,0.004,1,0,0,62.26,62.64,0.03,0.002
4/12/2024,4:40:14 pm,0,Double[12],-509.83,-2213.82,1278.23,142,0.004,1,0,0,62.26,62.64,0.022,0.002
4/12/2024,4:40:15 pm,0,Double[12],-509.83,-2213.82,1278.23,143,0.004,1,0,0,62.26,62.64,0.015,0.002
4/12/2024,4:40:16 pm,0,Double[12],-509.83,-2213.82,1278.23,145,0.004,1,0,0,62.26,62.64,0.012,0.002
4/12/2024,4:40:17 pm,0,Double[12],-509.83,-2213.82,1278.23,146,0.004,1,0,0,62.26,62.64,0.007,0.002
4/12/2024,4:40:18 pm,0,Double[12],-509.83,-2213.82,1278.23,147,0.004,1,0,0,62.26,62.64,0.005,0.002
4/12/2024,4:40:19 pm,0,Double[12],-509.83,-2213.82,1278.23,149,0.004,1,0,0,62.26,62.64,0.005,0.002
4/12/2024,4:40:20 pm,0,Double[12],-509.83,-2213.82,1278.23,151,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:21 pm,0,Double[12],-509.83,-2213.82,1278.23,152,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:22 pm,0,Double[12],-509.83,-2213.82,1278.23,154,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:23 pm,0,Double[12],-509.83,-2213.82,1278.23,156,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:24 pm,0,Double[12],-509.83,-2213.82,1278.23,157,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:25 pm,0,Double[12],-509.83,-2213.82,1278.23,158,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:26 pm,0,Double[12],-509.83,-2213.82,1278.23,160,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:27 pm,0,Double[12],-509.83,-2213.82,1278.23,161,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:28 pm,0,Double[12],-509.83,-2213.82,1278.23,163,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:29 pm,0,Double[12],-509.83,-2213.82,1278.23,164,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:30 pm,0,Double[12],-509.83,-2213.82,1278.23,165,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:31 pm,0,Double[12],-509.83,-2213.82,1278.23,166,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:32 pm,0,Double[12],-509.83,-2213.82,1278.23,168,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:33 pm,0,Double[12],-509.83,-2213.82,1278.23,169,0.004,1,0,0,62.26,62.64,0,0.002
4/12/2024,4:40:34 pm,0,Double[12],-509.83,-2213.82,1278.23,170,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:35 pm,0,Double[12],-509.83,-2213.82,1278.23,171,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:36 pm,0,Double[12],-509.83,-2213.82,1278.23,172,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:37 pm,0,Double[12],-509.83,-2213.82,1278.23,173,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:38 pm,0,Double[12],-509.83,-2213.82,1278.23,174,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:39 pm,0,Double[12],-509.83,-2213.82,1278.23,175,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:40 pm,0,Double[12],-509.83,-2213.82,1278.23,176,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:41 pm,0,Double[12],-509.83,-2213.82,1278.23,177,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:42 pm,0,Double[12],-509.83,-2213.82,1278.23,177,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:43 pm,0,Double[12],-509.83,-2213.82,1278.23,178,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:44 pm,0,Double[12],-509.83,-2213.82,1278.23,179,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:45 pm,0,Double[12],-509.83,-2213.82,1278.23,179,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:46 pm,0,Double[12],-509.83,-2213.82,1278.23,180,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:47 pm,0,Double[12],-509.83,-2213.82,1278.23,181,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:48 pm,0,Double[12],-509.83,-2213.82,1278.23,181,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:49 pm,0,Double[12],-509.83,-2213.82,1278.23,182,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:50 pm,0,Double[12],-509.83,-2213.82,1278.23,183,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:51 pm,0,Double[12],-509.83,-2213.82,1278.23,183,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:52 pm,0,Double[12],-509.83,-2213.82,1278.23,184,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:53 pm,0,Double[12],-509.83,-2213.82,1278.23,184,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:54 pm,0,Double[12],-509.83,-2213.82,1278.23,184,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:55 pm,0,Double[12],-509.83,-2213.82,1278.23,185,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:56 pm,0,Double[12],-509.83,-2213.82,1278.23,185,0.004,1,0,0,62.26,62.64,0,0.002
4/12/2024,4:40:57 pm,0,Double[12],-509.83,-2213.82,1278.23,186,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:58 pm,0,Double[12],-509.83,-2213.82,1278.23,186,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:40:59 pm,0,Double[12],-509.83,-2213.82,1278.23,187,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:00 pm,0,Double[12],-509.83,-2213.82,1278.23,187,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:01 pm,0,Double[12],-509.83,-2213.82,1278.23,187,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:02 pm,0,Double[12],-509.83,-2213.82,1278.23,188,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:03 pm,0,Double[12],-509.83,-2213.82,1278.23,188,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:04 pm,0,Double[12],-509.83,-2213.82,1278.23,188,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:05 pm,0,Double[12],-509.83,-2213.82,1278.23,189,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:06 pm,0,Double[12],-509.83,-2213.82,1278.23,189,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:07 pm,0,Double[12],-509.83,-2213.82,1278.23,189,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:08 pm,0,Double[12],-509.83,-2213.82,1278.23,189,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:09 pm,0,Double[12],-509.83,-2213.82,1278.23,190,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:10 pm,0,Double[12],-509.83,-2213.82,1278.23,190,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:11 pm,0,Double[12],-509.83,-2213.82,1278.23,190,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:12 pm,0,Double[12],-509.83,-2213.82,1278.23,190,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:13 pm,0,Double[12],-509.83,-2213.82,1278.23,190,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:14 pm,0,Double[12],-509.83,-2213.82,1278.23,191,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:15 pm,0,Double[12],-509.83,-2213.82,1278.23,191,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:16 pm,0,Double[12],-509.83,-2213.82,1278.23,191,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:17 pm,0,Double[12],-509.83,-2213.82,1278.23,191,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:18 pm,0,Double[12],-509.83,-2213.82,1278.23,191,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:19 pm,0,Double[12],-509.83,-2213.82,1278.23,191,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:20 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:21 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.004,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:22 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:23 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:24 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.004,1,0,0,62.26,62.64,0,0.002
4/12/2024,4:41:25 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:26 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:27 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:28 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:29 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:30 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:31 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:32 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:33 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:34 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.006,1,0,0,62.26,62.64,0.002,0.002
4/12/2024,4:41:35 pm,0,Double[12],-509.83,-2213.82,1278.23,192,0.006,1,0,0,62.26,62.64,0.002,0.002
