Date,Time,ms,Data_Type,ABB_X,ABB_Y,ABB_Z,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF1_Gas_Flow,PF2_Gas_Flow,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
5/12/2024,10:00:00 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:01 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:02 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:03 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:04 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:05 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:06 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:07 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:08 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:09 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:10 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:11 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:12 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:13 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:14 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:15 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:16 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:17 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:18 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:19 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:20 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:21 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:22 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:23 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:24 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:25 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:26 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:27 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:28 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:29 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
5/12/2024,10:00:30 am,0,Double[12],0,0,0,75,0.004,1,0,0,62.26,62.63,0.002,0.002
