Date,Time,ms,Data_Type,ABB_X,ABB_Y,ABB_Z,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF1_Gas_Flow,PF2_Gas_Flow,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
5/12/2024,4:55:49 pm,0,Double[12],0,0,0,1000,5.002,1792,299.4,0,62.26,62.6,5.192,0.002
5/12/2024,4:55:50 pm,0,Double[12],0,0,0,1000,5.002,1792,298.2,0,62.26,62.6,5.192,0.002
5/12/2024,4:55:51 pm,0,Double[12],0,0,0,1000,5.002,1792,297.4,0,62.26,62.6,5.192,0.002
5/12/2024,4:55:52 pm,0,Double[12],0,0,0,1000,5.002,1792,299.2,0,62.26,62.6,5.192,0.002
5/12/2024,4:55:53 pm,0,Double[12],0,0,0,1000,5.002,1792,301.4,0,62.26,62.6,5.192,0.002
5/12/2024,4:55:54 pm,0,Double[12],0,0,0,1000,5.002,1792,300.4,0,62.26,62.6,5.192,0.002
5/12/2024,4:55:55 pm,0,Double[12],0,0,0,1000,5.002,1794,299.4,0,62.26,62.6,5.192,0.002
5/12/2024,4:55:56 pm,0,Double[12],0,0,0,1000,5.002,1792,299.4,0,62.26,62.6,5.19,0.002
5/12/2024,4:55:57 pm,0,Double[12],0,0,0,1000,4.999,1792,299.5,0,62.26,62.6,5.192,0.002
5/12/2024,4:55:58 pm,0,Double[12],0,0,0,1000,5.002,1792,298.6,0,62.26,62.6,5.19,0.002
5/12/2024,4:55:59 pm,0,Double[12],0,0,0,1000,5.002,1792,303.8,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:00 pm,0,Double[12],0,0,0,1000,4.999,1792,303.8,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:01 pm,0,Double[12],0,0,0,1000,4.999,1789,299.9,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:02 pm,0,Double[12],0,0,0,1000,4.999,1784,296.2,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:03 pm,0,Double[12],0,0,0,1000,4.999,1784,296.6,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:04 pm,0,Double[12],0,0,0,1000,5.002,1789,299,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:05 pm,0,Double[12],0,0,0,1000,5.002,1792,300.6,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:06 pm,0,Double[12],0,0,0,1000,5.002,1789,303.4,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:07 pm,0,Double[12],0,0,0,1000,5.002,1789,302.4,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:08 pm,0,Double[12],0,0,0,1000,5.002,1789,300.4,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:09 pm,0,Double[12],0,0,0,1000,5.002,1791,299.5,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:10 pm,0,Double[12],0,0,0,1000,5.002,1792,297.5,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:11 pm,0,Double[12],0,0,0,1000,5.002,1792,297.8,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:12 pm,0,Double[12],0,0,0,1000,5.002,1792,298.2,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:13 pm,0,Double[12],0,0,0,1000,5.002,1792,296.8,0,62.26,62.59,5.19,0.002
5/12/2024,4:56:14 pm,0,Double[12],0,0,0,1000,4.999,1792,295.8,0,62.26,62.59,5.19,0.002
5/12/2024,4:56:15 pm,0,Double[12],0,0,0,1000,4.999,1797,297.8,0,62.26,62.59,5.19,0.002
5/12/2024,4:56:16 pm,0,Double[12],0,0,0,1000,5.002,1801,299.4,0,62.26,62.59,5.192,0.002
5/12/2024,4:56:17 pm,0,Double[12],0,0,0,1000,5.002,1801,300.2,0,62.26,62.59,5.192,0.002
5/12/2024,4:56:18 pm,0,Double[12],0,0,0,1000,5.002,1797,301.1,0,62.26,62.59,5.192,0.002
5/12/2024,4:56:19 pm,0,Double[12],0,0,0,1000,5.002,1797,301.1,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:20 pm,0,Double[12],0,0,0,1000,5.002,1794,300.6,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:21 pm,0,Double[12],0,0,0,1000,5.002,1792,300.2,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:22 pm,0,Double[12],0,0,0,1000,5.002,1792,300.6,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:23 pm,0,Double[12],0,0,0,1000,5.002,1792,300.4,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:24 pm,0,Double[12],0,0,0,1000,5.002,1792,300.7,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:25 pm,0,Double[12],0,0,0,1000,5.002,1791,302.4,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:26 pm,0,Double[12],0,0,0,1000,5.002,1792,301.8,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:27 pm,0,Double[12],0,0,0,1000,4.999,1791,299.4,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:28 pm,0,Double[12],0,0,0,1000,5.002,1792,298,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:29 pm,0,Double[12],0,0,0,1000,4.999,1792,299.8,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:30 pm,0,Double[12],0,0,0,1000,4.999,1791,301.9,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:31 pm,0,Double[12],0,0,0,1000,5.002,1792,301.4,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:32 pm,0,Double[12],0,0,0,1000,5.002,1792,300.2,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:33 pm,0,Double[12],0,0,0,1000,5.002,1792,300.4,0,62.26,62.6,5.19,0.002
5/12/2024,4:56:34 pm,0,Double[12],0,0,0,1000,5.002,1792,299.5,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:35 pm,0,Double[12],0,0,0,1000,5.002,1797,298.6,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:36 pm,0,Double[12],0,0,0,1000,5.002,1796,302.4,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:37 pm,0,Double[12],0,0,0,1000,5.002,1792,303.6,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:38 pm,0,Double[12],0,0,0,1000,5.002,1792,301.1,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:39 pm,0,Double[12],0,0,0,1000,5.002,1792,301.1,0,62.26,62.6,5.192,0.002
5/12/2024,4:56:40 pm,0,Double[12],0,0,0,1000,5.002,1789,298.7,0,62.26,62.6,5.192,0.002
