Date,Time,ms,Data_Type,ABB_X,ABB_Y,ABB_Z,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF1_Gas_Flow,PF2_Gas_Flow,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
5/12/2024,10:28:26 am,0,Double[12],0,0,0,1000,4.995,1715,301,0,62.26,62.66,5.177,0.002
5/12/2024,10:28:27 am,0,Double[12],0,0,0,1000,4.995,1715,301.6,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:28 am,0,Double[12],0,0,0,1000,4.995,1715,299.2,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:29 am,0,Double[12],0,0,0,1000,4.995,1706,298.2,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:30 am,0,Double[12],0,0,0,1000,4.995,1715,300.2,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:31 am,0,Double[12],0,0,0,1000,4.995,1724,299.5,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:32 am,0,Double[12],0,0,0,1000,4.995,1722,298,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:33 am,0,Double[12],0,0,0,1000,4.995,1718,299.5,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:34 am,0,Double[12],0,0,0,1000,4.995,1722,299.5,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:35 am,0,Double[12],0,0,0,1000,4.995,1718,299.8,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:36 am,0,Double[12],0,0,0,1000,4.995,1725,298,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:37 am,0,Double[12],0,0,0,1000,4.995,1730,298.6,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:38 am,0,Double[12],0,0,0,1000,4.995,1725,301.6,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:39 am,0,Double[12],0,0,0,1000,4.995,1736,300.2,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:40 am,0,Double[12],0,0,0,1000,4.995,1737,299.5,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:41 am,0,Double[12],0,0,0,1000,4.995,1736,299,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:42 am,0,Double[12],0,0,0,1000,4.995,1734,299.9,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:43 am,0,Double[12],0,0,0,1000,4.995,1736,300.2,0,62.26,62.67,5.175,0.002
5/12/2024,10:28:44 am,0,Double[12],0,0,0,1000,4.995,1724,299.5,0,62.26,62.67,5.177,0.002
5/12/2024,10:28:45 am,0,Double[12],0,0,0,1000,4.993,1725,297.8,0,62.26,62.66,5.175,0.002
5/12/2024,10:28:46 am,0,Double[12],0,0,0,1000,4.993,1736,300.4,0,62.26,62.66,5.175,0.002
5/12/2024,10:28:47 am,0,Double[12],0,0,0,1000,4.993,1730,301.4,0,62.26,62.66,5.175,0.002
5/12/2024,10:28:48 am,0,Double[12],0,0,0,1000,4.993,1732,299,0,62.26,62.66,5.175,0.002
5/12/2024,10:28:49 am,0,Double[12],0,0,0,1000,4.993,1732,297.5,0,62.26,62.66,5.175,0.002
5/12/2024,10:28:50 am,0,Double[12],0,0,0,1000,4.993,1736,298.2,0,62.26,62.66,5.177,0.002
5/12/2024,10:28:51 am,0,Double[12],0,0,0,1000,4.993,1734,301.9,0,62.26,62.66,5.177,0.002
5/12/2024,10:28:52 am,0,Double[12],0,0,0,1000,4.993,1744,301.1,0,62.26,62.66,5.177,0.002
5/12/2024,10:28:53 am,0,Double[12],0,0,0,1000,4.993,1736,298,0,62.26,62.66,5.175,0.002
5/12/2024,10:28:54 am,0,Double[12],0,0,0,1000,4.993,1722,298.3,0,62.26,62.66,5.175,0.002
5/12/2024,10:28:55 am,0,Double[12],0,0,0,1000,4.993,1725,300.7,0,62.26,62.66,5.175,0.002
5/12/2024,10:28:56 am,0,Double[12],0,0,0,1000,4.993,1730,299.9,0,62.26,62.67,5.175,0.002
5/12/2024,10:28:57 am,0,Double[12],0,0,0,1000,4.993,1734,298.6,0,62.26,62.67,5.175,0.002
5/12/2024,10:28:58 am,0,Double[12],0,0,0,1000,4.993,1736,297.1,0,62.26,62.67,5.175,0.002
5/12/2024,10:28:59 am,0,Double[12],0,0,0,1000,4.993,1732,298.7,0,62.26,62.67,5.175,0.002
5/12/2024,10:29:00 am,0,Double[12],0,0,0,1000,4.993,1729,299.5,0,62.26,62.66,5.175,0.002
5/12/2024,10:29:01 am,0,Double[12],0,0,0,1000,4.993,1741,299.9,0,62.26,62.66,5.175,0.002
5/12/2024,10:29:02 am,0,Double[12],0,0,0,1000,4.993,1741,297.4,0,62.26,62.66,5.175,0.002
5/12/2024,10:29:03 am,0,Double[12],0,0,0,1000,4.993,1736,299.5,0,62.26,62.66,5.175,0.002
5/12/2024,10:29:04 am,0,Double[12],0,0,0,1000,4.995,1737,300.6,0,62.26,62.66,5.175,0.002
5/12/2024,10:29:05 am,0,Double[12],0,0,0,1000,4.995,1741,301,0,62.26,62.67,5.177,0.002
5/12/2024,10:29:06 am,0,Double[12],0,0,0,1000,4.995,1742,300.6,0,62.26,62.66,5.177,0.002
5/12/2024,10:29:07 am,0,Double[12],0,0,0,1000,4.995,1744,301.8,0,62.26,62.66,5.177,0.002
5/12/2024,10:29:08 am,0,Double[12],0,0,0,1000,4.995,1768,300.6,0,62.26,62.66,5.177,0.002
5/12/2024,10:29:09 am,0,Double[12],0,0,0,1000,4.995,1767,300.6,0,62.26,62.66,5.177,0.002
5/12/2024,10:29:10 am,0,Double[12],0,0,0,1000,4.995,1772,299.5,0,62.26,62.66,5.177,0.002
5/12/2024,10:29:11 am,0,Double[12],0,0,0,1000,4.993,1773,298.6,0,62.26,62.66,5.177,0.002
5/12/2024,10:29:12 am,0,Double[12],0,0,0,1000,4.995,1777,299,0,62.26,62.66,5.177,0.002
5/12/2024,10:29:13 am,0,Double[12],0,0,0,1000,4.995,1777,299.4,0,62.26,62.66,5.177,0.002
5/12/2024,10:29:14 am,0,Double[12],0,0,0,1000,4.995,1775,299.4,0,62.26,62.66,5.177,0.002
5/12/2024,10:29:15 am,0,Double[12],0,0,0,1000,4.995,1775,297.5,0,62.26,62.66,5.177,0.002
5/12/2024,10:29:16 am,0,Double[12],0,0,0,1000,4.995,1775,296.2,0,62.26,62.66,5.177,0.002
5/12/2024,10:29:17 am,0,Double[12],0,0,0,1000,4.998,1775,299.5,0,62.26,62.66,5.18,0.002
5/12/2024,10:29:18 am,0,Double[12],0,0,0,1000,4.998,1770,301,0,62.26,62.66,5.18,0.002
5/12/2024,10:29:19 am,0,Double[12],0,0,0,1000,4.998,1772,299.9,0,62.26,62.66,5.18,0.002
5/12/2024,10:29:20 am,0,Double[12],0,0,0,1000,4.998,1767,298.3,0,62.26,62.66,5.18,0.002
5/12/2024,10:29:21 am,0,Double[12],0,0,0,1000,4.998,1761,299.8,0,62.26,62.66,5.18,0.002
5/12/2024,10:29:22 am,0,Double[12],0,0,0,1000,4.998,1758,302.2,0,62.26,62.66,5.18,0.002
5/12/2024,10:29:23 am,0,Double[12],0,0,0,1000,4.998,1753,301.8,0,62.26,62.66,5.182,0.002
5/12/2024,10:29:24 am,0,Double[12],0,0,0,1000,4.999,1739,299.8,0,62.26,62.66,5.182,0.002
5/12/2024,10:29:25 am,0,Double[12],0,0,0,1000,4.999,1739,297.8,0,62.26,62.66,5.182,0.002
5/12/2024,10:29:26 am,0,Double[12],0,0,0,1000,4.999,1739,299.4,0,62.26,62.66,5.182,0.002
5/12/2024,10:29:27 am,0,Double[12],0,0,0,1000,4.999,1737,299.4,0,62.26,62.66,5.182,0.002
5/12/2024,10:29:28 am,0,Double[12],0,0,0,1000,4.999,1741,298.7,0,62.26,62.66,5.182,0.002
5/12/2024,10:29:29 am,0,Double[12],0,0,0,1000,4.999,1741,299.4,0,62.26,62.66,5.182,0.002
5/12/2024,10:29:30 am,0,Double[12],0,0,0,1000,4.999,1749,299.2,0,62.26,62.66,5.182,0.002
5/12/2024,10:29:31 am,0,Double[12],0,0,0,1000,4.999,1758,299,0,62.26,62.66,5.182,0.002
5/12/2024,10:29:32 am,0,Double[12],0,0,0,1000,4.999,1767,300.4,0,62.26,62.66,5.182,0.002
5/12/2024,10:29:33 am,0,Double[12],0,0,0,1000,4.998,1761,300.6,0,62.26,62.66,5.182,0.002
5/12/2024,10:29:34 am,0,Double[12],0,0,0,1000,4.998,1765,295.8,0,62.26,62.66,5.182,0.002
5/12/2024,10:29:35 am,0,Double[12],0,0,0,1000,4.998,1767,296.8,0,62.26,62.66,5.182,0.002
5/12/2024,10:29:36 am,0,Double[12],0,0,0,1000,4.998,1758,303.4,0,62.26,62.66,5.185,0.002
5/12/2024,10:29:37 am,0,Double[12],0,0,0,1000,4.999,1758,303.8,0,62.26,62.66,5.185,0.002
5/12/2024,10:29:38 am,0,Double[12],0,0,0,1000,4.999,1775,301.6,0,62.26,62.66,5.185,0.002
5/12/2024,10:29:39 am,0,Double[12],0,0,0,1000,4.998,1775,300.2,0,62.26,62.66,5.185,0.002
